"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"JADE3",0.494681445723071,-0.306875353236389,0.045,0.053,1
"MB21D2",0.494869297412001,-0.519921013020646,0.018,0.018,1
"ZXDA",0.495071657328525,-0.432981113384264,0.016,0.021,1
"KRI1",0.495876385626116,-0.306646244219584,0.122,0.134,1
"AL669831.5",0.495995771847241,-0.271825241066845,0.055,0.057,1
"TNFSF12",0.496044204662308,-0.351984593629077,0.03,0.03,1
"FUT11",0.496358704660995,-0.361038805506335,0.056,0.061,1
"STAG3L2",0.496484891752994,-0.630193707337635,0.015,0.015,1
"SLC25A33",0.496485256131862,-0.257960639354579,0.143,0.144,1
"AL157392.5",0.496495847840881,-1.01278694233365,0.01,0.012,1
"FAM173B",0.496611037005758,-0.448349253931495,0.102,0.111,1
"ASB16",0.496666844843061,-0.404094734803146,0.013,0.012,1
"RQCD1",0.496812209458969,0.358975741340386,0.032,0.032,1
"HLA-DOB",0.497686436391831,-0.683156322113237,0.012,0.012,1
"AC010503.4",0.497707868812271,-0.581247546880414,0.013,0.015,1
"ARL17A",0.497886044499879,-0.273610320104702,0.066,0.07,1
"AL021368.2",0.497906460788476,-0.253771495729691,0.03,0.032,1
"SLC7A6",0.498181527450261,-0.372916817904922,0.075,0.077,1
"CLDN4",0.498592917328676,-0.461706410552262,0.384,0.38,1
"ARMH1",0.498600683486662,-0.995842541511455,0.016,0.018,1
"FAM66B",0.498788843717319,0.257799801786588,0.026,0.025,1
"LRRC2",0.498957071755019,-0.293194678703988,0.022,0.019,1
"ZNF75A",0.499149125293351,-0.302864739823444,0.136,0.147,1
"ST6GAL1",0.499363460152952,-0.339739314533626,0.075,0.082,1
"KDM3A",0.500173259279852,-0.286211970009885,0.122,0.136,1
"PPP1R9B",0.500528449884416,-0.509678075224641,0.076,0.087,1
"TATDN2",0.500551065098674,-0.322293706991137,0.045,0.049,1
"MT1M",0.501139300283492,-0.267108886655425,0.057,0.055,1
"P2RY6",0.501641992893316,-0.857226877574859,0.018,0.014,1
