"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL18A1",1.51325643848153e-81,-2.03326003986509,0.241,0.789,5.69862109603374e-77
"HIST1H2BD",1.55933130214915e-81,-2.13532661944426,0.137,0.644,5.87212981763325e-77
"AGT",2.07141969259569e-81,-1.54005656695202,0.539,0.985,7.80055227837685e-77
"ADI1",2.70484025498302e-81,-1.6894247357887,0.52,0.945,1.01858874322151e-76
"ALDH2",1.37595082140028e-80,-1.82124899116149,0.372,0.902,5.18155560322918e-76
"OSGIN1",2.23056812859782e-80,-1.92721495942093,0.137,0.644,8.39987345867366e-76
"CALD1",2.66242482435132e-80,-1.5332252318315,0.547,0.956,1.00261594035422e-75
"MASP1",6.62392922143323e-80,-2.13429677083979,0.053,0.44,2.49443926620733e-75
"RGS5",8.87931434643921e-80,-2.26337591607839,0.032,0.364,3.34377219658208e-75
"HAAO",1.55618175412497e-79,-2.06587641485795,0.091,0.531,5.86026924968379e-75
"PCK2",3.59314256691703e-79,-2.35807353569635,0.123,0.585,1.35310562784961e-74
"GLRX",1.15341534010578e-78,-2.00723318583623,0.217,0.76,4.34353148777035e-74
"PLIN5",1.20049059425494e-78,-2.3609721582104,0.096,0.535,4.52080747984526e-74
"ENTPD5",1.1495701472417e-77,-1.9889512529802,0.139,0.633,4.32905126048279e-73
"SLC17A3",2.23219014557355e-77,-3.06358677002764,0.033,0.356,8.40598165020088e-73
"IQGAP2",1.05832434735246e-76,-2.06466964515638,0.233,0.756,3.98543782725989e-72
"C8A",1.72374600662963e-76,-2.42016240453856,0.062,0.447,6.49128271176586e-72
"ASGR2",1.79862475246907e-76,-1.52016481244421,0.344,0.909,6.77326109284803e-72
"LGALS1",3.09616804105986e-76,4.0816840870398,0.836,0.567,1.16595496090232e-71
"LEPR",6.70803665320644e-76,-2.24958635770848,0.129,0.593,2.52611244286448e-71
"HSPA1A",6.78077739915528e-76,-2.38110180935595,0.683,0.956,2.55350515297389e-71
"GSTK1",1.93294556115511e-75,-1.47240415682288,0.617,0.964,7.2790863941979e-71
"HRSP12",2.69310620155778e-75,-1.92485883170357,0.241,0.756,1.01416993338263e-70
"PIK3R3",4.2099262487137e-75,-2.39399207098146,0.057,0.429,1.58537402674061e-70
"CLDN5",8.95121582897424e-75,-2.31855095022745,0.002,0.204,3.37084885687512e-70
"FGB",1.07163791586265e-74,-1.3146318877772,0.391,0.927,4.03557406355556e-70
"C1orf168",1.12865784130204e-74,-3.82221048338062,0.014,0.273,4.25029969877522e-70
"CTB-50L17.14",1.39874016176667e-74,-2.67629401897267,0.026,0.32,5.26737570118091e-70
"CRY2",1.54966911537274e-74,-2.22081070621496,0.054,0.422,5.83574395467067e-70
"FOXP3",2.64667567546648e-74,-3.0580481687809,0.006,0.233,9.96685125867166e-70
"LDHD",2.72232488847089e-74,-2.98065327485761,0.047,0.389,1.02517310650037e-69
"LCN12",9.11190443283352e-74,-3.06652698131149,0.027,0.327,3.43136097131645e-69
