"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EDIL3",0.0555073352534483,-1.96148315751515,0.009,0.013,1
"BISPR",0.0555556075980677,-0.847039093327421,0.037,0.052,1
"GPX7",0.0555774669716687,0.276843657972881,0.077,0.057,1
"SNX11",0.0558684982018752,-0.391515272269885,0.066,0.072,1
"CRAT",0.0558793104812587,0.3112955418857,0.202,0.183,1
"MDM1",0.0559289042638138,-0.291643334550005,0.056,0.056,1
"GLCE",0.0559291443157234,0.272727365351835,0.159,0.14,1
"ST5",0.0560232512715602,-0.286054801918898,0.097,0.107,1
"FAM117A",0.0560922255437518,-0.479102370573246,0.04,0.048,1
"BORCS5",0.0561737946111721,-0.30269112997574,0.094,0.101,1
"AL137802.2",0.05627780953266,0.260443525541963,0.028,0.022,1
"HOXC-AS1",0.0562901211655302,0.573819986052386,0.045,0.039,1
"GPC3",0.0564571609433968,0.58638811140661,0.05,0.045,1
"TRIM59",0.0564981745290974,-1.05695376782866,0.013,0.023,1
"MESP1",0.0566255784148503,-0.633967024733629,0.102,0.121,1
"HOMER1",0.0567636575141397,0.267672886654333,0.051,0.046,1
"MR1",0.0567710036802082,-0.50498792027429,0.072,0.083,1
"KIF18A",0.0567941076722106,-0.458939761622437,0.014,0.019,1
"LY96",0.0569105986831824,-1.20478298304258,0.013,0.018,1
"KAT14",0.0570090043160494,-0.353307092356744,0.053,0.056,1
"HEXIM2",0.0572034474634786,-0.260823115609923,0.079,0.093,1
"CDK10",0.0573933446883082,-0.327254662297961,0.168,0.156,1
"KRTCAP3",0.0575021395568474,0.256187287129763,0.336,0.318,1
"RAC2",0.0575253724149357,-0.656385391550339,0.094,0.093,1
"ATAD2B",0.0576077158608394,-0.268608416211506,0.094,0.091,1
"TGFBRAP1",0.0576735917172302,-0.551132303130657,0.055,0.064,1
"TROAP",0.0578511918226667,-0.294293311318618,0.032,0.037,1
"KNOP1",0.0579634982036382,-0.464554996584897,0.218,0.241,1
"PLEK",0.0581252319600852,-1.02948019049373,0.012,0.015,1
"AC106047.1",0.0581262556824032,0.51945595294996,0.034,0.028,1
"JPT2",0.0581596008106201,-0.252325375814596,0.269,0.28,1
"PARP11",0.0582001300743934,-0.308073451963832,0.046,0.049,1
"CCNY",0.0583862118700625,-0.445069647706572,0.092,0.104,1
"WNT6",0.0584985176151803,-1.55266004347843,0.008,0.012,1
"DNAI1",0.0585315860649459,0.609437883425399,0.014,0.011,1
"SACS",0.0585705450045021,-0.49921738583727,0.032,0.039,1
"SH3BP4",0.0585805789935591,0.432279055568626,0.156,0.133,1
"POU2F3",0.0586381908587968,-0.266151447366851,0.032,0.037,1
"ING3",0.0587118442386924,-0.33938221355847,0.05,0.063,1
"GALT",0.0587924821268501,-0.456749393528439,0.066,0.075,1
"ZNF45",0.0589020825126272,-0.319481612503838,0.033,0.04,1
"ARHGEF10",0.0589221854753412,-0.385263171127584,0.051,0.062,1
"PRKCE",0.0589300362136673,-0.670340719308061,0.041,0.053,1
"LARP4",0.0589337963240974,-0.344744218976732,0.159,0.169,1
"USP48",0.0590830339729051,-0.470663034462781,0.186,0.207,1
"RIOK3",0.0590956386629626,-0.44169140784337,0.207,0.22,1
"C18orf21",0.0591081713382711,0.257666598633616,0.12,0.113,1
"KMT2D",0.0591724678266228,-0.344685802406196,0.105,0.118,1
"SNX24",0.0592874057102945,0.404314492152066,0.088,0.078,1
"PRC1",0.0592877969040756,-0.271143646539276,0.049,0.053,1
"TLR1",0.05934847474338,-0.848743932053322,0.012,0.018,1
"RIPK4",0.0593845264179124,0.464275611996753,0.042,0.034,1
"TOPORS",0.0594077213011882,-0.284897318336436,0.117,0.134,1
"AJ009632.2",0.0594386216639425,0.680407600894818,0.01,0.009,1
"SYNPO2",0.0594985446995834,0.317543883178276,0.055,0.064,1
"SEMA4G",0.0597685139177306,0.2728901157548,0.021,0.018,1
"MTDH",0.0598790714340608,0.319192314061594,0.495,0.469,1
"BMI1",0.0599384339256549,-0.33676269987405,0.163,0.183,1
"RANGAP1",0.0602074604469632,-0.413987512742853,0.139,0.148,1
"RAB27B",0.0602569026056358,-0.294716279443895,0.159,0.163,1
"CCDC61",0.0602888854491844,0.282004334047892,0.043,0.038,1
"TRIM37",0.0603324085753894,-0.268543145815292,0.114,0.129,1
"TTC30B",0.0604451807504246,-0.280945682659987,0.04,0.047,1
"AP000766.1",0.0604458998668937,-0.493948984440021,0.008,0.011,1
"TLE4",0.0605866355167635,-0.609475702400192,0.025,0.035,1
"ANKS6",0.0607002326403034,-0.416538055336571,0.011,0.016,1
"ANKZF1",0.0608543889853236,-0.32391103128022,0.137,0.142,1
"FBN3",0.0609907663103842,-0.735035485186993,0.006,0.011,1
"CSPG4",0.0611416799187888,-0.565485300956303,0.03,0.033,1
"AC099522.2",0.0611497236923944,0.369820283720677,0.024,0.019,1
