"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TRIP11",7.0030787518731e-06,-0.653031402302575,0.485,0.541,0.263721939638037,"TRIP11"
"EN2",7.0110664199327e-06,-0.944902546993505,0.066,0.127,0.264022739241826,"EN2"
"ZNF296",7.01403084276015e-06,1.31954126062613,0.05,0.015,0.264134373476662,"ZNF296"
"GABRR1",7.01463741107172e-06,3.57225889540188,0.031,0.005,0.264157215626139,"GABRR1"
"DOK7",7.03016736753111e-06,-4.52841305212455,0.006,0.038,0.264742042726487,"DOK7"
"PTP4A1",7.05209284166385e-06,0.704908635398669,0.759,0.689,0.265567712231377,"PTP4A1"
"GDNF",7.09870347292796e-06,-0.403108538313141,0.343,0.225,0.267322975383521,"GDNF"
"TRIM5",7.12209965474723e-06,0.552267193661484,0.617,0.476,0.268204028798471,"TRIM5"
"ZSCAN25",7.16756590560876e-06,0.508097184420941,0.325,0.226,0.269916196873415,"ZSCAN25"
"ABCC5",7.24614981217731e-06,0.289142963693074,0.51,0.391,0.272875509626973,"ABCC5"
"EPHB1",7.24755592459619e-06,2.86316817560152,0.065,0.024,0.272928461008443,"EPHB1"
"ILDR2",7.31339487953606e-06,0.572188515215108,0.106,0.051,0.275407824373569,"ILDR2"
"SERPINB8",7.32481412469189e-06,-1.151914609732,0.057,0.116,0.275837850307647,"SERPINB8"
"VN1R1",7.33067820451105e-06,1.28166642557179,0.057,0.019,0.276058679825477,"VN1R1"
"IFT80",7.34766080831436e-06,-0.993177331403336,0.303,0.364,0.276698210719502,"IFT80"
"SMPX",7.4110761005492e-06,3.59430360951467,0.017,0,0.279086303794482,"SMPX"
"FLJ11235",7.4110761005492e-06,2.14150459163305,0.017,0,0.279086303794482,"FLJ11235"
"LOC100507334",7.4110761005492e-06,2.15962666128177,0.017,0,0.279086303794482,"LOC100507334"
"FEV",7.4110761005492e-06,2.83139820885785,0.017,0,0.279086303794482,"FEV"
"PLK4",7.41805274583659e-06,-0.482161378455184,0.111,0.053,0.279349030302714,"PLK4"
