"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC728190",2.10716101596401e-44,1.3887202444959,0.533,0.221,4.99102158241235e-40
"NONO",2.31434214433515e-44,0.73089118557205,0.962,0.914,5.48175080307223e-40
"RPL13",2.40659199812186e-44,0.693206846567155,0.996,1,5.70025380675143e-40
"HLX",4.27844935689673e-44,2.92537127863185,0.258,0.045,1.01339351467456e-39
"UBAP2L",4.82640712075123e-44,0.947350169147912,0.885,0.727,1.14318279062114e-39
"RPL36A",5.02311250358762e-44,0.664214506231654,0.989,0.972,1.18977442759976e-39
"TULP4",5.24671778540281e-44,1.77781133877636,0.818,0.651,1.24273757465051e-39
"DCAF13",5.42529380803045e-44,1.07343489151334,0.775,0.523,1.28503509137009e-39
"SPON2",5.43414521679196e-44,-1.00501556979529,0.224,0.536,1.28713163604934e-39
"CDCA7L",5.46990136160925e-44,2.09659954325362,0.314,0.076,1.29560083651077e-39
"EEF1G",8.16940905665132e-44,0.692771905909831,0.989,0.982,1.93500622915843e-39
"UQCRFS1",9.46467797138776e-44,0.93087236868332,0.784,0.578,2.2418036243029e-39
"FAM92A1",1.44686659750175e-43,1.51470690289157,0.544,0.249,3.42704822284265e-39
"MARCKS",1.60087290290815e-43,0.698603197639442,0.747,0.386,3.79182755782824e-39
"CELSR3",1.75857528165277e-43,2.8767353627068,0.27,0.054,4.16536141212275e-39
"SOX11",1.91428841347294e-43,6.22085575337219,0.195,0.018,4.534183536152e-39
"C20orf112",2.28370372659589e-43,1.21396120555665,0.816,0.586,5.40918064681502e-39
"FCGR2A",2.39482422595033e-43,-1.60479289242285,0.326,0.573,5.67238066158595e-39
"UHRF1",3.43088192472074e-43,2.52368718940561,0.35,0.106,8.12638692689355e-39
"CFL1",4.01443073252749e-43,0.61155312810987,0.985,0.972,9.50858063306461e-39
"FSCN1",4.04224677627088e-43,1.46041126533529,0.51,0.213,9.57446571427521e-39
"NACA",4.14491436023213e-43,0.765804324871137,0.988,0.985,9.81764415364582e-39
"GAS5",4.65727400585201e-43,1.06853632120419,0.927,0.906,1.10312192102611e-38
"ANP32E",4.99462385043005e-43,1.01795783260798,0.856,0.635,1.18302660521286e-38
"RBM34",5.46664076341459e-43,0.876524537842465,0.958,0.768,1.29482853122238e-38
"CDR1",5.86467989999839e-43,2.17149517312896,0.215,0.025,1.38910808111362e-38
"SCNM1",5.95123411265233e-43,1.28493899062673,0.581,0.297,1.40960931192283e-38
"DDX21",6.02409646538671e-43,1.00678739224671,0.692,0.391,1.4268674887915e-38
"RPS23",8.30025616359429e-43,0.709146434474539,0.981,0.989,1.96599867490894e-38
"BCL7A",8.51599485416899e-43,1.74939183697494,0.381,0.117,2.01709854115847e-38
"HPCAL1",9.15694213944888e-43,-1.84428399536222,0.309,0.573,2.16891331514986e-38
"ZNF749",9.30089455607462e-43,1.29402797851718,0.552,0.243,2.20300988455183e-38
"HNRNPA1P10",9.73161780888184e-43,1.21356612532115,0.91,0.808,2.30503099421175e-38
"TSR1",1.49067329056665e-42,1.33162062410562,0.707,0.423,3.53080875603617e-38
"ZNF286A",1.51305193116879e-42,1.70842916273775,0.782,0.52,3.58381480416639e-38
"SLC39A14",1.9247408975114e-42,-2.50965739585461,0.321,0.54,4.55894128984549e-38
"GRWD1",1.92523248246119e-42,1.51583327600086,0.704,0.422,4.56010565795757e-38
"VAMP8",1.98851319269137e-42,-1.42085184748811,0.246,0.54,4.70999234820878e-38
"UTRN",2.15640726414147e-42,-1.73154214155048,0.253,0.538,5.10766624584548e-38
"DCBLD2",2.39665915782646e-42,-2.48835082291912,0.321,0.553,5.67672688122775e-38
"ACTB",2.927081473456e-42,0.577789231996542,0.999,0.995,6.93308517802788e-38
"NFKBIA",3.2995426995796e-42,-1.36446269198949,0.394,0.642,7.81529683822425e-38
"PPAP2C",3.50814618098741e-42,2.28404547581523,0.218,0.028,8.30939504428678e-38
"METAP2",3.56979348886591e-42,1.18914062303384,0.823,0.587,8.45541285772778e-38
"FBLN1",5.16214529479826e-42,2.37892187962468,0.611,0.338,1.22270573452592e-37
"MFAP4",5.18794896983559e-42,9.34377331555841,0.153,0.003,1.22881759299526e-37
"COX6B1",5.40533422827116e-42,0.853516352477926,0.899,0.821,1.28030746530831e-37
"CDK4",6.2188635839614e-42,0.914529221264522,0.909,0.793,1.4730000284971e-37
"LINC00662",7.29369565900204e-42,1.22797061474774,0.651,0.324,1.72758475379122e-37
"BMP7",7.40952802599968e-42,1.46557322322005,0.745,0.412,1.75502080823828e-37
"ITM2C",7.77104566730646e-42,1.0261309430592,0.813,0.552,1.84064987675821e-37
