"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UBE2M",3.19512805102854e-19,-2.06939040704027,0.136,0.33,6.81329105601326e-15
"NOL8",3.23753445871391e-19,1.79619329174069,0.18,0.042,6.90371847976155e-15
"ARMCX1",3.28151480320879e-19,2.16090622083408,0.14,0.024,6.99750216636241e-15
"RAMP2",3.32762866626226e-19,2.30089280526295,0.114,0.012,7.09583536793764e-15
"TTC38",3.38595074315928e-19,0.922723046691348,0.269,0.09,7.22020136471284e-15
"BLOC1S4",3.76819068906989e-19,-3.14751335438985,0.036,0.202,8.03528982537263e-15
"PMPCB",3.99551882061845e-19,1.00309633876842,0.441,0.209,8.52004433308679e-15
"PTGES3",4.17748222665273e-19,-0.610738726533511,0.765,0.833,8.90806310011428e-15
"RGS12",4.25690407780425e-19,1.64959607676859,0.186,0.045,9.07742225550979e-15
"SLC38A5",4.43505834189219e-19,-3.22782097770387,0.017,0.172,9.45731840825092e-15
"SCEL",4.53050639599815e-19,-4.80851624676711,0.006,0.15,9.66085183882646e-15
"PAG1",4.63699702945042e-19,-2.03739408773402,0.138,0.334,9.88793246560008e-15
"RBP7",4.86880117937304e-19,2.98472898696407,0.119,0.015,1.03822316348951e-14
"LEPR",4.90693175635699e-19,1.22063308883422,0.345,0.151,1.04635412772556e-14
"SMPD1",5.09892135971182e-19,1.12504774047519,0.335,0.133,1.08729399074495e-14
"MAZ",5.12151354183507e-19,-1.87063878424991,0.212,0.397,1.09211154766091e-14
"PCSK7",5.29257582602962e-19,0.950941622278223,0.398,0.175,1.12858886914256e-14
"COL5A3",5.39723967530959e-19,1.5323814715294,0.136,0.022,1.15090738836302e-14
"BCL7C",5.55886844011385e-19,-2.09859136731804,0.157,0.34,1.18537310616988e-14
